Host,Datacenter,Cluster,Port Group,Switch,VLAN,Promiscuous Mode,Mac Changes,Forged Transmits,Traffic Shaping,Width,Peak,Burst,Policy,Reverse Policy,Notify Switch,Rolling Order,Offload,TSO,Zero Copy Xmit,VI SDK Server,VI SDK UUID
s-esx-02.usfq.edu.ec,USFQ,USFQ-SANDBOX,S2-SRV-3085,VM,3085,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-02.usfq.edu.ec,USFQ,USFQ-SANDBOX,VMotion,VMotion,0,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-02.usfq.edu.ec,USFQ,USFQ-SANDBOX,VM Network,vSwitch0,0,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-02.usfq.edu.ec,USFQ,USFQ-SANDBOX,Management Network,vSwitch0,0,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-01.usfq.edu.ec,USFQ,USFQ-SANDBOX,S3-SRV-4075,VM,4075,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-01.usfq.edu.ec,USFQ,USFQ-SANDBOX,S2-SRV-3074,VM,3074,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-01.usfq.edu.ec,USFQ,USFQ-SANDBOX,S2-SRV-3072,VM,3072,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-01.usfq.edu.ec,USFQ,USFQ-SANDBOX,S2-SRV-3071,VM,3070,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-01.usfq.edu.ec,USFQ,USFQ-SANDBOX,S3-SRV-4085,VM,4085,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-01.usfq.edu.ec,USFQ,USFQ-SANDBOX,S2-SRV-3085,VM,3085,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-01.usfq.edu.ec,USFQ,USFQ-SANDBOX,S2-SRV-3079,VM,3079,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
