VM,Powerstate,Template,SRM Placeholder,VM Version,Tools,Tools Version,Required Version,Upgradeable,Upgrade Policy,Sync time,App status,Heartbeat status,Kernel Crash state,Operation Ready,State change support,Interactive Guest,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VMRef,VM ID,VM UUID,VI SDK Server,VI SDK UUID
P-WS-EXT-02,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-ACR-CLOUD-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-EXPEDITION-PA-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-ZB-HAPROXY-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-QUALYS-SCAN-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-FW-INV-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-CUSTOM-OLNX-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-ZB-DB-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
S2-P-AD-DS-04,poweredOn,False,,,toolsOld,,,,,,,,,,,,,,,,USFQ,USFQ-SANDBOX,s-esx-01.usfq.edu.ec,,,,,,,,
S2-P-ZB-DB-01,poweredOff,False,,,toolsNotRunning,,,,,,,,,,,,,,,,USFQ,USFQ-SANDBOX,s-esx-01.usfq.edu.ec,,,,,,,,
S2-P-ZB-FE-01-S,poweredOff,False,,,toolsNotRunning,,,,,,,,,,,,,,,,USFQ,USFQ-SANDBOX,s-esx-01.usfq.edu.ec,,,,,,,,
S-ACR-CLOUD-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-SANDBOX,s-esx-01.usfq.edu.ec,,,,,,,,
S3-LNX-ROUTER-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-SANDBOX,s-esx-01.usfq.edu.ec,,,,,,,,
S3-PA-02,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-SANDBOX,s-esx-01.usfq.edu.ec,,,,,,,,
S1-P-PA-02,poweredOff,False,,,toolsNotRunning,,,,,,,,,,,,,,,,USFQ,USFQ-SANDBOX,s-esx-01.usfq.edu.ec,,,,,,,,
S2-PA-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-SANDBOX,s-esx-01.usfq.edu.ec,,,,,,,,
S-WIN-TEST,poweredOn,False,,,toolsNotRunning,,,,,,,,,,,,,,,,USFQ,USFQ-SANDBOX,s-esx-01.usfq.edu.ec,,,,,,,,
S2-LNX-ROUTER-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-SANDBOX,s-esx-01.usfq.edu.ec,,,,,,,,
T-EVE-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-SANDBOX,s-esx-01.usfq.edu.ec,,,,,,,,
S2-P-NG-01_1,poweredOff,False,,,toolsNotInstalled,,,,,,,,,,,,,,,,USFQ,USFQ-SANDBOX,s-esx-02.usfq.edu.ec,,,,,,,,
T-GITLAB-OLNX-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-TEST,t-esx-02.usfq.edu.ec,,,,,,,,
T-BAN-APP-04,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-TEST,t-esx-02.usfq.edu.ec,,,,,,,,
T-ACR-CLOUD-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-TEST,t-esx-02.usfq.edu.ec,,,,,,,,
T-BAN-BEPBRIM-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-TEST,t-esx-02.usfq.edu.ec,,,,,,,,
T-VM-PA-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-TEST,t-esx-02.usfq.edu.ec,,,,,,,,
D-CUSTOM-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-TEST,t-esx-02.usfq.edu.ec,,,,,,,,
T-FIN-MS-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-TEST,t-esx-02.usfq.edu.ec,,,,,,,,
T-POC-LUMU-01,poweredOff,False,,,toolsNotRunning,,,,,,,,,,,,,,,,USFQ,USFQ-TEST,t-esx-02.usfq.edu.ec,,,,,,,,
T-BAN-APP-05,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-TEST,t-esx-02.usfq.edu.ec,,,,,,,,
P-ANS-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-TEST,t-esx-02.usfq.edu.ec,,,,,,,,
T-WIN-02,poweredOn,False,,,toolsNotInstalled,,,,,,,,,,,,,,,,USFQ,USFQ-TEST,t-esx-02.usfq.edu.ec,,,,,,,,
T-BAN-ADMP-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-TEST,t-esx-02.usfq.edu.ec,,,,,,,,
T-WIN-10,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-TEST,t-esx-01.usfq.edu.ec,,,,,,,,
T-BAN-SSB-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-TEST,t-esx-01.usfq.edu.ec,,,,,,,,
D-CUSTOM-02,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-TEST,t-esx-01.usfq.edu.ec,,,,,,,,
T-ACR-CLOUD-02,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-TEST,t-esx-01.usfq.edu.ec,,,,,,,,
T-BAN-APP-06,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-TEST,t-esx-01.usfq.edu.ec,,,,,,,,
D-HUBI-LNX-02,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-TEST,t-esx-01.usfq.edu.ec,,,,,,,,
T-BAN-BATCH-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-TEST,t-esx-01.usfq.edu.ec,,,,,,,,
T-BAN-APP-02,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-TEST,t-esx-01.usfq.edu.ec,,,,,,,,
T-BAN-APP-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-TEST,t-esx-01.usfq.edu.ec,,,,,,,,
T-ORPHEUS-01,poweredOff,False,,,toolsNotRunning,,,,,,,,,,,,,,,,USFQ,USFQ-TEST,t-esx-01.usfq.edu.ec,,,,,,,,
T-BAN-APP-03,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-TEST,t-esx-01.usfq.edu.ec,,,,,,,,
P-WIN-ADM-01,poweredOff,False,,,toolsNotRunning,,,,,,,,,,,,,,,,USFQ,USFQ-TEST,t-esx-01.usfq.edu.ec,,,,,,,,
T-BAN-ETHOS-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-TEST,t-esx-01.usfq.edu.ec,,,,,,,,
T-RESERVAS-C7-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-TEST,t-esx-01.usfq.edu.ec,,,,,,,,
T-BAN-ESM-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-TEST,t-esx-01.usfq.edu.ec,,,,,,,,
T-APP-REDCAP-OLN-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-TEST,t-esx-01.usfq.edu.ec,,,,,,,,
T-HUBI-PYTHON-OLNX-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-TEST,t-esx-01.usfq.edu.ec,,,,,,,,
