VM,Powerstate,Template,SRM Placeholder,NIC label,Adapter,Network,Switch,Connected,Starts Connected,Mac Address,Type,IPv4 Address,IPv6 Address,Direct Path IO,Internal Sort Column,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server,VI SDK UUID
T-APP-LIB-01,poweredOn,False,FALSE,Network adapter 1,vim.vm.device.VirtualVmxnet3,V-SRV-64,USFQ-DVS,True,True,,assigned,,,,T-APP-LIB-01 Network adapter 1,,,5006c559-ad71-c7c5-088d-6f97a4a31258,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm,Oracle Linux 9 (64-bit),Oracle Linux 9 (64-bit),vm-9059,42061960-81e7-8b25-c368-825b61edc0fe,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-QUALYS-02,poweredOn,False,FALSE,Network adapter 1,vim.vm.device.VirtualVmxnet3,V-SRV-75,USFQ-DVS,True,True,,assigned,,,,P-QUALYS-02 Network adapter 1,"Qualys Virtual Scanner Appliance - VMware vSphere vApp, build:qVSA.x86_64-3.10.89-2.vApp",,5006c1c2-539f-d02c-61b0-5973d9c5f75f,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/SEGURIDAD-VM-PRODUCCION,Red Hat Enterprise Linux 7 (64-bit),Other Linux (64-bit),vm-7009,4206a35b-2b6b-83dc-65c0-829fdb244fe3,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-QUALYS-02,poweredOn,False,FALSE,Network adapter 2,vim.vm.device.VirtualVmxnet3,V-PUBLIC-192,USFQ-DVS,True,True,,assigned,,,,P-QUALYS-02 Network adapter 2,"Qualys Virtual Scanner Appliance - VMware vSphere vApp, build:qVSA.x86_64-3.10.89-2.vApp",,5006c1c2-539f-d02c-61b0-5973d9c5f75f,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/SEGURIDAD-VM-PRODUCCION,Red Hat Enterprise Linux 7 (64-bit),Other Linux (64-bit),vm-7009,4206a35b-2b6b-83dc-65c0-829fdb244fe3,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-BAN9-BEPBRIM-01,poweredOn,False,FALSE,Network adapter 1,vim.vm.device.VirtualVmxnet3,V-SRV-BAN-85,USFQ-DVS,True,False,,assigned,,,,P-BAN9-BEPBRIM-01 Network adapter 1,,,50063a01-4c90-b7b6-6462-4c90f55baeac,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/INFRA-VM-PRODUCCION-BANNER,Oracle Linux 8 (64-bit),Oracle Linux 8 (64-bit),vm-3730,42068edb-1241-e6a5-c38d-50f77eb006d9,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-KOVM-CLC-01-CLON,poweredOn,False,FALSE,Network adapter 1,vim.vm.device.VirtualE1000,V-SRV-BAN-85,USFQ-DVS,True,True,,assigned,,,,P-KOVM-CLC-01-CLON Network adapter 1,,,50064aeb-9879-534c-e44e-376c6bef7ae7,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm,Other 2.6.x Linux (64-bit),Oracle Linux 8 (64-bit),vm-16177,42061de5-e99f-04ae-e6c0-559980db876b,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-ACR-CLOUD-04,poweredOn,False,FALSE,Network adapter 1,vim.vm.device.VirtualVmxnet3,VM Network,vSwitch0,True,True,,assigned,,,,P-ACR-CLOUD-04 Network adapter 1,{AB53A0F1-AD54-480f-80BB-FC72DC41DF53},,50063268-6a01-3232-1352-79f3a81dfc13,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm,Other 3.x Linux (64-bit),Other 6.x or later Linux (64-bit),vm-12437,42064abf-ddfe-78a6-69e9-5f3be4c6e431,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
T-THALES-CTM-01,poweredOn,False,FALSE,Network adapter 1,vim.vm.device.VirtualE1000,V-SRV-64,USFQ-DVS,True,True,,assigned,,,,T-THALES-CTM-01 Network adapter 1,,,50067120-4abd-36f7-3e43-e375bf995ec5,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/SEGURIDAD-VM-TEST,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-9033,420609a0-7bc5-5db1-f042-b6c1b6d2aaa8,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-NESSUS-01,poweredOn,False,FALSE,Network adapter 1,vim.vm.device.VirtualVmxnet3,V-INFRA-210,USFQ-DVS,True,True,,assigned,,,,P-NESSUS-01 Network adapter 1,,,503417a5-96d5-4c3a-7e8e-b51ecc65d044,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-510,4234ab0c-d0fd-4a67-7d42-8fca303d055c,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-ENGINE-GIZ-01,poweredOn,False,FALSE,Network adapter 1,vim.vm.device.VirtualE1000,V-SRV-66,USFQ-DVS,True,True,,assigned,,,,P-ENGINE-GIZ-01 Network adapter 1,,,50063d33-a993-418e-4458-2c5b32b83cb6,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm,Other 2.6.x Linux (64-bit),Oracle Linux 8 (64-bit),vm-10223,4206a461-79e7-d5fb-a50e-f1d43415a037,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-ZB-GRAFANA-01,poweredOn,False,FALSE,Network adapter 1,vim.vm.device.VirtualE1000,V-SRV-74,USFQ-DVS,True,True,,assigned,,,,P-ZB-GRAFANA-01 Network adapter 1,,,5034c0d4-d2ca-da58-7bef-f20bfb2e6c4b,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/SEGURIDAD-VM-PRODUCCION,Other 2.6.x Linux (64-bit),Oracle Linux 8 (64-bit),vm-8074,4234b213-3440-d970-aeef-fdaae1bf7e90,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
