VM,Powerstate,Template,SRM Placeholder,NIC label,Adapter,Network,Switch,Connected,Starts Connected,Mac Address,Type,IPv4 Address,IPv6 Address,Direct Path IO,Internal Sort Column,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server,VI SDK UUID
P-MINEMELDPA-01,poweredOn,False,,,Network adapter 1,V-SRV-75,,True,True,00:50:56:b4:10:75,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-NG-01,poweredOn,False,,,Network adapter 1,V-SRV-75,,True,True,00:50:56:86:a7:48,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-DB-GALERA-OL9-01,poweredOn,False,,,Network adapter 1,V-SRV-TERCEROS-65,,True,True,00:50:56:86:24:df,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-APP-PASEC-OLN-01,poweredOn,False,,,Network adapter 1,V-SRV-TERCEROS-65,,True,True,00:50:56:b4:c8:3d,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-APP-REDCAP-OLN-01,poweredOn,False,,,Network adapter 1,V-INVESTIGACION-67,,True,True,00:50:56:b4:b5:45,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-BAN9-APP-01-CL,poweredOff,False,,,Network adapter 1,V-SRV-BAN-85,,False,True,00:50:56:86:ba:b5,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-GITLAB-OLNX-01,poweredOn,False,,,Network adapter 1,V-SRV-75,,True,True,00:50:56:b4:f8:50,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-IMP-MX-WAF-01,poweredOn,False,,,Network adapter 1,V-SRV-75,,True,True,00:50:56:86:76:6f,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-IMP-MX-WAF-01,poweredOn,False,,,Network adapter 2,V-SRV-75,,True,True,00:50:56:86:e2:c0,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-IMP-MX-WAF-01,poweredOn,False,,,Network adapter 3,V-SRV-75,,True,True,00:50:56:86:6e:58,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
