VM,Powerstate,Template,SRM Placeholder,Config status,DNS Name,Connection state,Guest state,Heartbeat,Consolidation Needed,PowerOn,Suspended To Memory,Suspend time,Suspend Interval,Creation date,Change Version,CPUs,Overall Cpu Readiness,Memory,Active Memory,NICs,Disks,Total disk capacity MiB,Fixed Passthru HotPlug,min Required EVC Mode Key,Latency Sensitivity,Op Notification Timeout,EnableUUID,CBT,Primary IP Address,Network #1,Network #2,Network #3,Network #4,Network #5,Network #6,Network #7,Network #8,Num Monitors,Video Ram KiB,Resource pool,Folder ID,Folder,vApp,DAS protection,FT State,FT Role,FT Latency,FT Bandwidth,FT Sec. Latency,Vm Failover In Progress,Provisioned MiB,In Use MiB,Unshared MiB,HA Restart Priority,HA Isolation Response,HA VM Monitoring,Cluster rule(s),Cluster rule name(s),Boot Required,Boot delay,Boot retry delay,Boot retry enabled,Boot BIOS setup,Reboot PowerOff,EFI Secure boot,Firmware,HW version,HW upgrade status,HW upgrade policy,HW target,Path,Log directory,Snapshot directory,Suspend directory,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,OS according to the configuration file,OS according to the VMware Tools,Customization Info,Guest Detailed Data,VM ID,SMBIOS UUID,VM UUID,VI SDK Server type,VI SDK API Version,VI SDK Server,VI SDK UUID
P-BAN9-APP-03,poweredOn,False,,,,,,,,,,,,,,4,,16384,,,,,,,,,,,172.21.85.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Oracle Linux 8 (64-bit),,,,,,4206159c-e572-a6c4-19f2-9ab58eeb3251,,,,50067745-0027-e5df-18ae-7661c48240f0
P-BAN9-ETHOS-01,poweredOn,False,,,,,,,,,,,,,,4,,16384,,,,,,,,,,,172.21.85.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Oracle Linux 8 (64-bit),,,,,,4206c8fc-70ed-2b8b-5411-1889611998de,,,,50069bf8-d1af-5145-f484-250d66cee39a
P-NSS-01,poweredOn,False,,,,,,,,,,,,,,4,,16384,,,,,,,,,,,172.21.75.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Oracle Linux 7 (64-bit),,,,,,564dea4b-6234-26d7-d9fa-9a18fb7c8132,,,,52a1f8e4-4f2d-d160-ab6c-4cd8dd298829
P-RADIUS-02,poweredOn,False,,,,,,,,,,,,,,8,,16384,,,,,,,,,,,172.21.75.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Ubuntu Linux (64-bit),,,,,,42342688-eacb-51ae-8501-47cdf5171af8,,,,5034298d-7413-3d6f-ab24-99807cb1bd9d
T-FORTIDATA-01,poweredOn,False,,,,,,,,,,,,,,32,,65536,,,,,,,,,,,192.168.1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Other 5.x Linux (64-bit),,,,,,42064a5d-a00a-389b-476e-2d1415228c4d,,,,50061d7f-74b4-4e74-b171-04e2ec84a096
P-ZB-PROXY-OL9-02,poweredOn,False,,,,,,,,,,,,,,3,,8192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Oracle Linux 9 (64-bit),,,,,,420630b1-5d78-334d-033f-6bd6bcb7aaac,,,,5006bdd2-0864-ccf8-4bb3-a1664db95fdb
T-DB-GALERA-OL95-02,poweredOn,False,,,,,,,,,,,,,,8,,8192,,,,,,,,,,,172.21.64.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Oracle Linux 9 (64-bit),,,,,,42069f4c-12fd-705a-e635-63d62a5ee531,,,,50060c21-ef73-e9a5-9079-e4dc2bad518c
P-BIBREPO-OLNX-01,poweredOn,False,,,,,,,,,,,,,,4,,8192,,,,,,,,,,,172.21.75.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Oracle Linux 8 (64-bit),,,,,,42342276-bbaa-d496-4625-f853a87f533a,,,,50349c2b-c09f-606e-807b-466d076cd75f
P-DB-GALERA-OL9-02,poweredOn,False,,,,,,,,,,,,,,8,,8192,,,,,,,,,,,172.21.65.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Oracle Linux 9 (64-bit),,,,,,42061b30-b42a-95ea-ca9c-78b6bc7cc44c,,,,5006e27a-ee09-6ae9-4ce1-d9c569927778
P-DB-GALERA-OL9-03,poweredOn,False,,,,,,,,,,,,,,8,,8192,,,,,,,,,,,172.21.65.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Oracle Linux 9 (64-bit),,,,,,420605d8-5021-f2eb-0ee7-e7865fac5a3f,,,,5006f685-6343-70b0-07f7-9f7f3eb52760
P-WWW4-OL-01-NEW,poweredOn,False,,,,,,,,,,,,,,8,,32768,,,,,,,,,,,172.21.75.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Oracle Linux 8 (64-bit),,,,,,4206b1c0-c328-a064-5211-e74d45ffa390,,,,50065d8e-4a8d-dfde-ca5d-04324b5c187b
T-DB-GALERA-OL95-03,poweredOn,False,,,,,,,,,,,,,,8,,8192,,,,,,,,,,,172.21.64.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Oracle Linux 9 (64-bit),,,,,,4206a105-fe4c-4a58-a8e0-ff358d812df3,,,,500606bf-9266-a386-8831-d72c5ce88676
P-VC-01,poweredOn,False,,,,,,,,,,,,,,4,,21504,,,,,,,,,,,10.78.78.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,VMware Photon OS (64-bit),,,,,,420f5874-50bb-5069-8c0f-d4704f6a5a41,,,,500fcfdc-e218-df89-a964-ab35579c4c90
P-MOODLE-OL-03,poweredOn,False,,,,,,,,,,,,,,8,,32768,,,,,,,,,,,172.21.75.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,CentOS 7 (64-bit),,,,,,42347f03-a164-85c1-9567-b53146c313ee,,,,5034be36-ba82-7108-0894-ab20daf7407a
P-AD-DS-06,poweredOn,False,,,,,,,,,,,,,,8,,24576,,,,,,,,,,,172.21.75.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,Microsoft Windows Server 2019 (64-bit),,,,,,42342f57-0190-21bb-3085-c64d93aa9553,,,,5034ee2b-aa87-cf56-265b-960e99f7f224
P-BAN9-APP-05,poweredOn,False,,,,,,,,,,,,,,4,,16384,,,,,,,,,,,172.21.85.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,Oracle Linux 8 (64-bit),,,,,,4206a7b7-f27d-4cc2-3e2c-605ae6e79335,,,,50069afc-5f05-78cf-3a1d-d49d0787d3ce
